04 July 2007 10:50:17 AM

NINT_EXACTNESS_TRI
  C++ version

  Investigate the polynomial exactness of a quadrature
  rule for the triangle by integrating all monomials
  of a given degree.

  The rule will be adjusted to the unit triangle.

NINT_EXACTNESS_TRI: User input:
  Quadrature rule X file = "strang9_x.txt".
  Quadrature rule W file = "strang9_w.txt".
  Quadrature rule R file = "strang9_r.txt".
  Maximum total degree to check = 8

  Spatial dimension = 2
  Number of points  = 12

      Error    Degree  Exponents

    1.9984e-15      0   0 0

   1.77636e-15      1   1 0
   1.77636e-15      1   0 1

   3.10862e-15      2   2 0
   5.55112e-16      2   1 1
   3.55271e-15      2   0 2

   4.44089e-15      3   3 0
   8.88178e-16      3   2 1
   8.88178e-16      3   1 2
   4.21885e-15      3   0 3

   5.55112e-15      4   4 0
    1.9984e-15      4   3 1
   2.66454e-15      4   2 2
   1.77636e-15      4   1 3
   5.10703e-15      4   0 4

   6.21725e-15      5   5 0
   2.88658e-15      5   4 1
   4.21885e-15      5   3 2
   4.44089e-15      5   2 3
   2.88658e-15      5   1 4
   6.21725e-15      5   0 5

   7.10543e-15      6   6 0
   3.55271e-15      6   5 1
   5.55112e-15      6   4 2
   6.21725e-15      6   3 3
   5.32907e-15      6   2 4
   3.55271e-15      6   1 5
   7.10543e-15      6   0 6

   0.000198039      7   7 0
   0.000693137      7   6 1
   0.000891176      7   5 2
   0.000495098      7   4 3
   0.000495098      7   3 4
   0.000891176      7   2 5
   0.000693137      7   1 6
   0.000198039      7   0 7

   0.000439377      8   8 0
   0.000767312      8   7 1
    0.00377556      8   6 2
     0.0115368      8   5 3
     0.0164076      8   4 4
     0.0115368      8   3 5
    0.00377556      8   2 6
   0.000767312      8   1 7
   0.000439377      8   0 8


'NINT_EXACTNESS_TRI:
  Normal end of execution.

04 July 2007 10:50:17 AM
